Product_1,Product_Name,Year,Category,Age,Weight
394,OUTDOOR PATIO HEATERS OR FIREPITS (MANUFACTURED),2021,HOUSEHOLD APPLIANCES,16,5239.00
399,KEROSENE OR OIL HEATERS,2021,HOUSEHOLD APPLIANCES,16,396.00
405,UNPOWERED COFFEE MAKERS OR TEAPOTS,2021,HOUSEHOLD APPLIANCES,27,443.00
408,IRONING BOARDS OR COVERS,2021,HOUSEHOLD APPLIANCES,53,603.00
412,PRESSURE COOKERS OR CANNERS,2021,HOUSEHOLD APPLIANCES,47,1616.00
413,"WASTE CONTAINERS, TRASH BASKETS OR REFUSE BINS",2021,HOUSEHOLD APPLIANCES,53,43317.00
416,CORKSCREWS,2021,HOUSEHOLD APPLIANCES,24,247.00
417,FLATWARE (EXCL. KNIVES),2021,HOUSEHOLD APPLIANCES,4,4871.00
419,"TIE RACKS, BELT RACKS OR OTHER CLOTHES HANGERS",2021,HOUSEHOLD APPLIANCES,7,2304.00
420,MANUAL SCISSORS,2021,HOUSEHOLD APPLIANCES,16,6991.00
421,NONELECTRIC KNIFE SHARPENERS,2021,HOUSEHOLD APPLIANCES,51,69.00
422,BOTTLE OPENERS,2021,HOUSEHOLD APPLIANCES,24,227.00
427,ICE PICKS,2021,HOUSEHOLD APPLIANCES,36,228.00
428,"KITCHEN GADGETS, NOT ELSEWHERE CLASSIFIED",2021,HOUSEHOLD APPLIANCES,8,14731.00
429,FOOD SKEWERS,2021,HOUSEHOLD APPLIANCES,21.5,762.00
431,TOOTHPICKS OR HORS D'OEUVRES PICKS,2021,HOUSEHOLD APPLIANCES,15,4870.00
432,TRAYS (EXCL. FOOD WARMERS),2021,HOUSEHOLD APPLIANCES,36.5,2692.00
434,DOORSTOPS,2021,HOUSEHOLD APPLIANCES,29,967.00
435,"KITCHEN MIXING BOWLS, CANISTERS OR SIMILAR CONTAINERS",2021,HOUSEHOLD APPLIANCES,27,1622.00
436,"POTHOLDERS, OVEN MITTS OR HOT PADS",2021,HOUSEHOLD APPLIANCES,34.5,62.00
438,LAUNDRY BASKETS,2021,HOUSEHOLD APPLIANCES,41,9322.00
443,DRINKING STRAWS,2021,HOUSEHOLD APPLIANCES,4,3466.00
444,"KNIFE SHARPENERS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,56,330.00
450,"SCISSORS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,20,9028.00
452,"COFFEE MAKERS OR TEAPOTS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,37,1558.00
453,"CAN OPENERS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,29,1215.00
460,METAL COOKWARE (NONELECTRIC),2021,HOUSEHOLD APPLIANCES,30,4091.00
461,NONMETAL COOKWARE (NONELECTRIC),2021,HOUSEHOLD APPLIANCES,33,1575.00
462,CHAFING DISHES OR FONDUE POTS,2021,HOUSEHOLD APPLIANCES,28,15.00
463,"CANDLES, CANDLESTICKS AND OTHER CANDLE HOLDERS",2021,HOUSEHOLD APPLIANCES,22,7285.00
464,"KNIVES, NOT ELSEWHERE CLASSIFIED",2021,HOUSEHOLD APPLIANCES,31,281424.00
465,OTHER COOKWARE,2021,HOUSEHOLD APPLIANCES,27,1789.00
466,"COOKWARE, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,35,17950.00
469,SLICERS AND CHOPPERS,2021,HOUSEHOLD APPLIANCES,42,21791.00
471,FOOD GRINDERS,2021,HOUSEHOLD APPLIANCES,38,960.00
474,TABLEWARE AND ACCESSORIES,2021,HOUSEHOLD APPLIANCES,30,42236.00
477,THERMOMETERS (EXCLUDING MEDICAL THERMOMETERS),2021,HOUSEHOLD APPLIANCES,27,384.00
478,"DRINKING GLASSES, CUPS, AND MUGS",2021,HOUSEHOLD APPLIANCES,22.5,55441.00
480,MANUAL CLEANING EQUIPMENT (EXCL. BUCKETS AND PAILS),2021,HOUSEHOLD APPLIANCES,39,22896.00
481,BREAD MAKING MACHINES,2021,HOUSEHOLD APPLIANCES,2,69.00
482,"APPLIANCES, OTHER AND NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,44,1069.00
519,TELEVISION TABLES OR STANDS,2021,HOUSEHOLD APPLIANCES,4,7752.00
529,"TELESCOPES, BINOCULARS, MICROSCOPES, MAGNIFYING GLASSES",2021,HOUSEHOLD APPLIANCES,13,249.00
531,RECORDING TAPES,2021,HOUSEHOLD APPLIANCES,7,5.00
532,GLASS BOTTLE CUTTING EQUIPMENT,2021,HOUSEHOLD APPLIANCES,32,15.00
533,LAPIDARY EQUIPMENT,2021,HOUSEHOLD APPLIANCES,44,57.00
536,PHOTOGRAPHIC EQUIPMENT,2021,HOUSEHOLD APPLIANCES,26,1377.00
545,AMATEUR TWO-WAY RADIOS,2021,HOUSEHOLD APPLIANCES,8,27.00
546,STEREO OR HI-FI COMPONENTS OR ACCESSORIES,2021,HOUSEHOLD APPLIANCES,25,14132.00
547,"SOUND RECORDING OR RECEIVING EQUIPMENT, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,84,16.00
549,PROJECTORS,2021,HOUSEHOLD APPLIANCES,15,126.00
550,TELEPHONES OR TELEPHONE ACCESSORIES,2021,HOUSEHOLD APPLIANCES,32,26141.00
552,"ANTENNAS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,23,15.00
555,RADIOS (SELF-CONTAINED UNITS),2021,HOUSEHOLD APPLIANCES,1,188.00
557,COMPUTERS (EQUIPMENT AND ELECTRONIC GAMES),2021,HOUSEHOLD APPLIANCES,17,23787.00
558,INDOOR ANTENNAS (SEPARATE),2021,HOUSEHOLD APPLIANCES,56,69.00
559,"RADIOS, NOT SPECIFIED",2021,HOUSEHOLD APPLIANCES,22.5,450.00
561,OUTDOOR ANTENNAS (SEPARATE),2021,HOUSEHOLD APPLIANCES,36,289.00
562,LASER POINTERS,2021,HOUSEHOLD APPLIANCES,50,106.00
563,RECORD PLAYERS (SELF-CONTAINED UNITS),2021,HOUSEHOLD APPLIANCES,30,221.00
565,"MUSICAL INSTRUMENTS, ELECTRIC OR BATTERY OPERATED",2021,HOUSEHOLD APPLIANCES,2,154.00
566,"MUSICAL INSTRUMENTS, NOT ELECT. OR BATTERY OR NOT SPEC.",2021,HOUSEHOLD APPLIANCES,16,4026.00
567,COAXIAL CABLE,2021,HOUSEHOLD APPLIANCES,42,310.00
569,ART OR CERAMICS SUPPLIES AND EQUIPMENT (EXCL. PAINTBRUSHES),2021,HOUSEHOLD APPLIANCES,5,3999.00
571,BUSINESS AND OFFICE MACHINES,2021,HOUSEHOLD APPLIANCES,29,1215.00
572,TELEVISIONS,2021,HOUSEHOLD APPLIANCES,30,16804.00
573,"OTHER SOUND RECORDING, REPRODUCING OR RECEIVING EQUIP.",2021,HOUSEHOLD APPLIANCES,28.5,136.00
574,"REMOTE CONTROL, UNIVERSAL OR NS (EXCL. REMOTES FOR TOYS)",2021,HOUSEHOLD APPLIANCES,13,1544.00
575,COMPACT DISCS (CDS) AND DVDS,2021,HOUSEHOLD APPLIANCES,41,284.00
576,VIDEO PLAYERS AND RECORDERS (EXCL CAMERAS),2021,HOUSEHOLD APPLIANCES,28,469.00
604,"DESKS, CHESTS, BUREAUS OR BUFFETS",2021,HOUSEHOLD FIXTURES,24,75928.00
606,GENERATORS OR POWER PLANTS,2021,HOUSEHOLD FIXTURES,40,2461.00
609,GLASS BATHTUB OR SHOWER ENCLOSURES,2021,HOUSEHOLD FIXTURES,36,2485.00
610,NONGLASS BATHTUB OR SHOWER ENCLOSURES,2021,HOUSEHOLD FIXTURES,5.5,165.00
611,BATHTUBS OR SHOWERS,2021,HOUSEHOLD FIXTURES,48,283047.00
612,"RUNNERS, THROW RUGS OR DOORMATS",2021,HOUSEHOLD FIXTURES,70,11733.00
613,"ROOM-SIZED, WALL-TO-WALL OR OUTDOOR CARPETING",2021,HOUSEHOLD FIXTURES,65,13832.00
617,"DRAPERIES, CURTAINS, SHOWER CURTAINS(FABRIC OR PLASTIC)",2021,HOUSEHOLD FIXTURES,42,3391.00
618,STEPLADDERS,2021,HOUSEHOLD FIXTURES,63,11865.00
620,STEP STOOLS,2021,HOUSEHOLD FIXTURES,55,13755.00
627,LIGHT BULBS,2021,HOUSEHOLD FIXTURES,30,5275.00
628,ELECTRIC CHANDELIERS OR OTHER ATTACHED LIGHT FIXTURES,2021,HOUSEHOLD FIXTURES,30,2845.00
638,"WINDOW SHADES, VENETIAN BLINDS OR INDOOR SHUTTERS",2021,HOUSEHOLD FIXTURES,61,3057.00
639,FLASHLIGHTS OR BATTERY-POWERED LANTERNS,2021,HOUSEHOLD FIXTURES,13,1100.00
648,SINKS,2021,HOUSEHOLD FIXTURES,48,21785.00
649,TOILETS,2021,HOUSEHOLD FIXTURES,69,137133.00
651,TABLE LINENS,2021,HOUSEHOLD FIXTURES,70,144.00
652,"PICTURES, PICTURE FRAMES OR WALL DECORATIONS",2021,HOUSEHOLD FIXTURES,25,10369.00
653,ARTIFICIAL FLOWERS OR PLANTS,2021,HOUSEHOLD FIXTURES,3,508.00
654,"KNICKKNACKS, STATUES, VASES OR URNS",2021,HOUSEHOLD FIXTURES,20,10456.00
657,TOWEL RACKS OR BARS,2021,HOUSEHOLD FIXTURES,37,1761.00
661,BUNK BEDS,2021,HOUSEHOLD FIXTURES,7,31302.00
662,WATERBEDS OR WATER PILLOWS,2021,HOUSEHOLD FIXTURES,64.5,34.00
663,FIREPLACE EQUIPMENT,2021,HOUSEHOLD FIXTURES,4.5,678.00
666,TOWELS OR CLOTHS,2021,HOUSEHOLD FIXTURES,53,7043.00
667,"BEDSPREADS, THROWS OR COMFORTERS",2021,HOUSEHOLD FIXTURES,73,1153.00
669,CLOTHESPINS,2021,HOUSEHOLD FIXTURES,2,150.00
670,RECLINER CHAIR,2021,HOUSEHOLD FIXTURES,71,30884.00
671,ROCKING CHAIR,2021,HOUSEHOLD FIXTURES,6,5816.00
672,LAUNDRY HAMPERS,2021,HOUSEHOLD FIXTURES,27,448.00
676,"RUGS OR CARPETS, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,68,82789.00
679,"SOFAS, COUCHES, DAVENPORTS, DIVANS OR STUDIO COUCHES",2021,HOUSEHOLD FIXTURES,5,163367.00
680,"CONVERTIBLE BEDS, HIDEAWAY BEDS OR SOFA BEDS",2021,HOUSEHOLD FIXTURES,26,581.00
685,EXTENSION CORDS,2021,HOUSEHOLD FIXTURES,60,3411.00
687,BENCHES,2021,HOUSEHOLD FIXTURES,11,28055.00
689,"BLANKETS, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,18.5,7821.00
692,MAGAZINE RACKS OR BOOK ENDS,2021,HOUSEHOLD FIXTURES,81.5,424.00
693,FOOTLOCKERS,2021,HOUSEHOLD FIXTURES,39,611.00
698,HOT TUBS OR HOME SPAS,2021,HOUSEHOLD FIXTURES,33,7031.00
699,FAUCETS OR SPIGOTS,2021,HOUSEHOLD FIXTURES,40,2047.00
701,FIRE EXTINGUISHERS,2021,HOUSEHOLD FIXTURES,38.5,1633.00
702,FIRE OR SMOKE ALARMS,2021,HOUSEHOLD FIXTURES,52,874.00
704,BURGLAR ALARMS,2021,HOUSEHOLD FIXTURES,72.5,86.00
707,"PADLOCKS, CHAIN LOCKS OR OTHER LOCKS",2021,HOUSEHOLD FIXTURES,32,1449.00
709,SAFES,2021,HOUSEHOLD FIXTURES,34.5,2548.00
711,FIRE ESCAPE DEVICES,2021,HOUSEHOLD FIXTURES,31,722.00
712,CARBON MONOXIDE DETECTORS,2021,HOUSEHOLD FIXTURES,20.5,1195.00
803,POWER SANDERS,2021,HOUSEHOLD FIXTURES,41,1213.00
804,POWER ROUTERS,2021,HOUSEHOLD FIXTURES,48,1647.00
805,POWER LATHES,2021,HOUSEHOLD FIXTURES,58,316.00
807,POWER JOINTERS,2021,HOUSEHOLD FIXTURES,62,335.00
809,OTHER PORTABLE OR STATIONARY POWER TOOLS,2021,HOUSEHOLD FIXTURES,41,1925.00
814,"HOISTS, LIFTS, JACKS OR JACK STANDS",2021,HOUSEHOLD FIXTURES,39,5988.00
815,ELECTRICAL TESTING EQUIPMENT,2021,HOUSEHOLD FIXTURES,15,90.00
819,ELECTRIC MOTORS (SEPARATE),2021,HOUSEHOLD FIXTURES,47.5,205.00
820,INTERNAL COMBUSTION ENGINES (NONVEHICULAR),2021,HOUSEHOLD FIXTURES,34,359.00
821,AUTOMOTIVE TOOLS OR ACCESSORIES,2021,HOUSEHOLD FIXTURES,41,1942.00
823,AIR COMPRESSORS (SEPARATE),2021,HOUSEHOLD FIXTURES,47,1877.00
827,HAMMERS,2021,HOUSEHOLD FIXTURES,38,15946.00
828,SCREWDRIVERS,2021,HOUSEHOLD FIXTURES,36,3789.00
829,MANUAL DRILLS,2021,HOUSEHOLD FIXTURES,45,74.00
830,HAND SAWS,2021,HOUSEHOLD FIXTURES,40,2717.00
832,PORTABLE CIRCULAR POWER SAWS,2021,HOUSEHOLD FIXTURES,51.5,7590.00
833,WORKSHOP COMPOUNDS OR CHEMICALS,2021,HOUSEHOLD FIXTURES,45,867.00
834,HEAVY-DUTY WORKSHOP STAPLERS,2021,HOUSEHOLD FIXTURES,26.5,1553.00
835,TOOLBOXES OR TOOL KITS,2021,HOUSEHOLD FIXTURES,41,5651.00
836,KNIVES WITH REPLACEABLE BLADES,2021,HOUSEHOLD FIXTURES,35,38019.00
837,"WIRE, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,44,4093.00
841,BENCH OR TABLE SAWS,2021,HOUSEHOLD FIXTURES,59,32378.00
842,BAND SAWS,2021,HOUSEHOLD FIXTURES,40,2488.00
843,RADIAL ARM SAWS,2021,HOUSEHOLD FIXTURES,66,268.00
845,"SAWS, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,46.5,13347.00
847,"DRILLS, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,41,9426.00
852,ROPE OR STRING,2021,HOUSEHOLD FIXTURES,19.5,5572.00
854,WORKSHOP FURNISHINGS,2021,HOUSEHOLD FIXTURES,56,906.00
855,PORTABLE POWER DRILLS AND ACCESSORIES,2021,HOUSEHOLD FIXTURES,42.5,1905.00
856,STATIONARY POWER DRILLS AND ACCESSORIES,2021,HOUSEHOLD FIXTURES,38.5,478.00
857,"PLIERS, WIRE CUTTERS OR WRENCHES",2021,HOUSEHOLD FIXTURES,39,6343.00
859,"SOLDERING EQUIPMENT, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,28,142.00
862,MANUAL FILING OR SANDING TOOLS,2021,HOUSEHOLD FIXTURES,55,1284.00
864,SABRE SAWS,2021,HOUSEHOLD FIXTURES,51,783.00
866,ELECTRIC SOLDERING EQUIPMENT,2021,HOUSEHOLD FIXTURES,57,17.00
869,GLUE GUNS,2021,HOUSEHOLD FIXTURES,11,608.00
870,"AWLS, CHISELS OR PLANES",2021,HOUSEHOLD FIXTURES,41,2812.00
871,"POWER DRILLS OR ACCESSORIES, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,47,4772.00
874,CUTTING TORCHES,2021,HOUSEHOLD FIXTURES,63,337.00
875,JIGSAWS,2021,HOUSEHOLD FIXTURES,39,463.00
877,TROUBLE LIGHTS OR EXTENSION WORK LIGHTS,2021,HOUSEHOLD FIXTURES,38,17.00
878,LEVELS,2021,HOUSEHOLD FIXTURES,31,143.00
879,VISES OR WORKSHOP CLAMPS,2021,HOUSEHOLD FIXTURES,35,341.00
880,DRAIN SNAKES,2021,HOUSEHOLD FIXTURES,52.5,251.00
881,OTHER MANUAL WORKSHOP TOOLS,2021,HOUSEHOLD FIXTURES,35.5,4481.00
882,NAIL GUNS OR STUD DRIVERS,2021,HOUSEHOLD FIXTURES,37.5,4802.00
883,BATTERY CHARGERS/ADAPTERS,2021,HOUSEHOLD FIXTURES,17,2360.00
884,BATTERIES,2021,HOUSEHOLD FIXTURES,3,12194.00
885,"CHAINS, NOT ELSEWHERE CLASSIFIED",2021,HOUSEHOLD FIXTURES,28,1432.00
886,STRETCH CORDS OR STRETCH STRAPS,2021,HOUSEHOLD FIXTURES,36,1626.00
887,"PAINTING EQUIP., POWERED (SPRAYERS, ROLLERS, BRUSHES)",2021,HOUSEHOLD FIXTURES,42,1768.00
888,"SPRAYERS, NOT ELSEWHERE CLASSIFIED",2021,HOUSEHOLD FIXTURES,56,5504.00
890,"TORCHES, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,33,752.00
893,"TOOLS, NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,48,25826.00
894,HACKSAWS,2021,HOUSEHOLD FIXTURES,63,540.00
895,"POWER SAWS, OTHER OR NOT SPECIFIED",2021,HOUSEHOLD FIXTURES,49,11762.00
896,WELDING EQUIPMENT,2021,HOUSEHOLD FIXTURES,31.5,8588.00
897,"POWER WORKSHOP GRINDERS, BUFFERS OR POLISHERS",2021,HOUSEHOLD FIXTURES,47,7989.00
898,"MANUAL WORKSHOP GRINDERS, BUFFERS OR POLISHERS",2021,HOUSEHOLD FIXTURES,42.5,1606.00
899,"WORKSHOP GRINDERS, BUFFERS OR POLISHERS, N.S.",2021,HOUSEHOLD FIXTURES,43,17916.00
904,FLOOR WAXES,2021,HOME EQUIPMENT,52,34.00
905,FURNITURE POLISHES OR WAXES,2021,HOME EQUIPMENT,1,74.00
908,PAINT THINNERS OR VARNISH THINNERS,2021,HOME EQUIPMENT,22,712.00
909,ADHESIVES,2021,HOME EQUIPMENT,21.5,6536.00
910,GASOLINE,2021,HOME EQUIPMENT,38,9166.00
913,LUBRICANTS,2021,HOME EQUIPMENT,54,1162.00
914,DRY ICE,2021,HOME EQUIPMENT,15,17.00
915,METHYL ALCOHOL (SOLVENT),2021,HOME EQUIPMENT,33,133.00
917,CHARCOAL,2021,HOME EQUIPMENT,19,841.00
920,CAULKING OR SPACKLING COMPOUNDS,2021,HOME EQUIPMENT,46,261.00
921,"CHEMICALS, NOT ELSEWHERE CLASSIFIED",2021,HOME EQUIPMENT,30,6248.00
925,"PAINTBRUSHES OR ROLLERS, MANUAL",2021,HOME EQUIPMENT,45,2211.00
927,TAPES (WITH ADHESIVE SURFACES),2021,HOME EQUIPMENT,21,938.00
929,DRAIN CLEANERS,2021,HOME EQUIPMENT,41.5,2362.00
930,"AMMONIA, HOUSEHOLD",2021,HOME EQUIPMENT,42.5,631.00
931,"METAL POLISHES, TARNISH REMOVERS OR PREVENTATIVES",2021,HOME EQUIPMENT,38,74.00
932,SHOE POLISHES,2021,HOME EQUIPMENT,1,5.00
933,TURPENTINE,2021,HOME EQUIPMENT,36,62.00
934,DISHWASHER DETERGENTS,2021,HOME EQUIPMENT,2,913.00
936,ACIDS,2021,HOME EQUIPMENT,31,761.00
937,RUST REMOVERS,2021,HOME EQUIPMENT,29,17.00
938,SWIMMING POOL CHEMICALS,2021,HOME EQUIPMENT,30,1789.00
940,LIGHTER FLUIDS,2021,HOME EQUIPMENT,5,1013.00
941,FUELS FOR CHAFING DISHES OR FONDUE POTS,2021,HOME EQUIPMENT,31,114.00
942,OVEN CLEANERS,2021,HOME EQUIPMENT,30,738.00
945,PINE OIL CLEANING AND DISINFECTANT PREPARATIONS,2021,HOME EQUIPMENT,14,413.00
949,LAUNDRY SOAPS OR DETERGENTS,2021,HOME EQUIPMENT,4,16243.00
951,TOILET BOWL PRODUCTS,2021,HOME EQUIPMENT,14,953.00
952,FABRIC TREATMENT PRODUCTS,2021,HOME EQUIPMENT,4,1304.00
953,ABRASIVE CLEANERS,2021,HOME EQUIPMENT,2,705.00
